ID,Label
1,"Blumenthal, George"
2,"Brookfield, William"
3,"Burrage, Albert C."
4,"Clark, William Andrews"
5,"Clarke, Augustus W."
6,"Connor, Washington Everett"
7,"De Lima, David A."
8,"Fletcher, Isaac D."
9,"Flower, Frederick, S."
10,"Fry, John Hemming"
11,"Gardiner, George Schuyler"
12,"Harrison, Hugh H."
13,"Hearn, George A."
14,"Hearst, William Randolph"
15,"Heye, Dr. George G."
16,"Humphreys, Dr. Alexander C."
17,"Lambert, Catholina"
18,"Lawrence, Frank R."
19,"Lehmaier, Louis A."
20,"Lehman, Arthur"
21,"Mansfield, Burton"
22,"Merriam, William Rush"
23,"Obrig, Adolf"
24,"Reinhardt, Henry"
25,"Reisinger, Hugo"
26,"Ruppert, Jacob"
27,"Seligman, Henry"
28,"Seligman, Isaac Newton"
29,"Shepherd, James G."
30,"Stern, Louis"
31,"Stransky, Josef"
32,"Tenney, Charles Henry"
33,"Valentine, P.A."
34,"Widener, Peter A.B."
35,"Woolworth, Frank Winfield"
36,"Adams, Edward D."
37,"Aitken, John W."
38,"Alger, Russel Alexander"
39,"Allis, Charles"
40,"Ames, Frederick Lothrop"
41,"Ames, Oliver"
42,"Andrews, William Loring"
43,"Astor, John Jacob (III)"
44,"Avery, Samuel Putnam"
45,"Baker, George F."
46,"Bakewell, Allen Campbell"
47,"Bangs, F.N."
48,"Bishop, Heber R."
49,"Borden, Matthew Challoner Durfee"
50,"Bostwick, Jabez A."
51,"Butler, Theron R."
52,"Carstairs, Charles Stewart"
53,"Carstairs, John Haseltine"
54,"Clark, William (Newark)"
55,"Clarke, Thomas B."
56,"Closson, James T."
57,"Clyde, William P."
58,"Cochran, Thomas"
59,"Coffin, Charles Albert"
60,"Cook, Henry H."
61,"Crocker, Charles"
62,"Curtis, George N."
63,"Curtis, William John"
64,"Davenport, Ira"
65,"Davis, Theodore M."
66,"Dick, Harris Brisbane"
67,"Dun, Robert Graham"
68,"Ellsworth, James W."
69,"Fahnestock, Harris Charles"
70,"Field, Marshall"
71,"Fiske, Josiah M."
72,"Flagler, Henry Morrison"
73,"Foos, Lamar"
74,"Frick, Henry Clay (NY)"
75,"Fuller, William H."
76,"Gould, Frank Jay"
77,"Graham, Malcolm"
78,"Harbeck, Charles T."
79,"Harding, J. Horace"
80,"Harper, Fletcher, Jr."
81,"Harper, Joseph Abner"
82,"Hartley, Marcellus"
83,"Hill, James N."
84,"Hine, Francis L."
85,"Hoagland, Joseph Christoffel"
86,"Holmes, John Grier"
87,"Horton, Henry Lawrence"
88,"Hotchkiss, Horace L."
89,"Hoyt, Charles Albert"
90,"Huntington, Collis P."
91,"Huntington, Henry Edwards"
92,"Hyde, Clarence M."
93,"Hyde, Henry Baldwin"
94,"Inglis, James Smith"
95,"Ives, Brayton C."
96,"Jackson, Edwin E."
97,"Jennings, Frederick Beach"
98,"King, David H., Jr."
99,"Kirby, Thomas E."
100,"Lawrence, Cyrus I."
101,"Layton, Frederick"
102,"Leighton, George E."
103,"Mather, Samuel"
104,"McGarrah, G. W."
105,"Mellon, Andrew W."
106,"Milbank, Jeremiah"
107,"Milliken, Seth Mellen"
108,"Mills, Darius Ogden"
109,"Moore, William Henry"
110,"Morgan, J. Pierpont"
111,"Oliver, George Tener"
112,"Oliver, Henry W."
113,"Peavey, Frank Hutchinson"
114,"Penfold, Edmund"
115,"Peters, Samuel T."
116,"Raynor, James A."
117,"Riker, John Lawrence"
118,"Roberts, Marshall O."
119,"Rockefeller, William Avery Jr."
120,"Roebling, Ferdinand W."
121,"Sabin, Charles H."
122,"Salter, Thomas P."
123,"Schwab, Charles M."
124,"Sloane, William Douglas"
125,"Smith, Charles Stewart"
126,"Smith, Theodore E."
127,"Stanford, Leland"
128,"Stewart, Lispenard"
129,"Stillman, James"
130,"Terry, John T."
131,"Thomas, Seth Edward"
132,"Thorne, Samuel P."
133,"Tousey, Sinclair"
134,"Tuckerman, Lucius"
135,"Valentine, Lawson"
136,"Vanderbilt, Cornelius II"
137,"Ward, Leslie Dodd"
138,"Warren, John Hobart"
139,"Willets, Howard"
140,"Gunsaulus, Dr. Frank W."
141,"Berwind, Edward Julius"
142,"Gary, Elbert H."
143,"Gould, George Jay I"
144,"Harkness, Charles W."
145,"Jennings, Walter"
146,"Ream, Norman B."
147,"Reid, Daniel G."
148,"Schiff, Jacob Henry"
149,"Spoor, John A."
150,"Allen, George L."
151,"Armour, George A."
152,"Astor, William"
153,"Barger, Samuel F."
154,"Bartlett, Francis"
155,"Bennett, James Gordon Jr."
156,"Bixby, William K."
157,"Catlin, Daniel"
158,"Clark, George Crawford"
159,"Comstock, William C."
160,"Deering, Charles"
161,"Edwards, Robert J."
162,"Gould, Helen"
163,"Harkness, Edward"
164,"Healy, Aaron Augustus"
165,"Hutchinson, William J."
166,"Jewett, William Kennon"
167,"Johnson, John G."
168,"Lewisohn, Adolph"
169,"Martin, Bradley"
170,"McAlpin, David H."
171,"Morgan, J. Pierpont, Jr."
172,"Nickerson, Samuel M."
173,"Roloson, Robert W."
174,"Russel, Horace"
175,"Ryerson, Martin A."
176,"Spaulding, William S."
177,"Vanderbilt, William Kissam"
178,"Walker, E. Chandler"
179,"Walters, Henry"
180,"White, George Robert"
181,"Loeser, Frederick"
182,"De Silver, Carll H."
183,"Lockwood, Luke Vincent"
