source_label,target_label,source,target
"Adams, Edward D.",Sector 22-Utilities,36,190
"Adams, Edward D.",Sector 52-Finance and Insurance,36,191
"Adams, Edward D.",Sector 48-49-Transportation and Warehousing,36,192
"Adams, Edward D.",Sector 31-33-Manufacturing,36,193
"Adams, Edward D.",Sector 23-Construction,36,194
"Adams, Edward D.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",36,195
"Aitken, John W.",Sector 42-Wholesale Trade,37,196
"Aitken, John W.",Sector 52-Finance and Insurance,37,191
"Aitken, John W.",Sector 62-Health Care and Social Assistance,37,197
"Alger, Russel Alexander",Sector 92-Public Administration,38,198
"Alger, Russel Alexander",Sector 31-33-Manufacturing,38,193
"Alger, Russel Alexander",Sector 48-49-Transportation and Warehousing,38,192
"Allis, Charles",Sector 31-33-Manufacturing,39,193
"Allis, Charles",Sector 52-Finance and Insurance,39,191
"Ames, Frederick Lothrop",Sector 48-49-Transportation and Warehousing,40,192
"Ames, Frederick Lothrop",Sector 52-Finance and Insurance,40,191
"Ames, Frederick Lothrop",Sector 31-33-Manufacturing,40,193
"Ames, Oliver",Sector 31-33-Manufacturing,41,193
"Ames, Oliver",Sector 92-Public Administration,41,198
"Ames, Oliver",Sector 48-49-Transportation and Warehousing,41,192
"Andrews, William Loring",Sector 51-Information,42,199
"Astor, John Jacob (III)",Sector 52-Finance and Insurance,43,191
"Astor, John Jacob (III)",Sector 51-Information,43,199
"Avery, Samuel Putnam","Sector 71-Arts, Entertainment, and Recreation",44,200
"Avery, Samuel Putnam",Sector 44-45-Retail Trade,44,201
"Baker, George F.",Sector 52-Finance and Insurance,45,191
"Baker, George F.",Sector 22-Utilities,45,190
"Baker, George F.",Sector 31-33-Manufacturing,45,193
"Baker, George F.",Sector 51-Information,45,199
"Baker, George F.",Sector 48-49-Transportation and Warehousing,45,192
"Bakewell, Allen Campbell",Sector 22-Utilities,46,190
"Bangs, F.N.","Sector 54-Professional, Scientific, and Technical Services",47,202
"Berwind, Edward Julius","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",177,195
"Berwind, Edward Julius",Sector 48-49-Transportation and Warehousing,177,192
"Berwind, Edward Julius",Sector 31-33-Manufacturing,177,193
"Berwind, Edward Julius",Sector 52-Finance and Insurance,177,191
"Berwind, Edward Julius",Sector 23-Construction,177,194
"Berwind, Edward Julius",Sector 53-Real Estate and Rental and Leasing,177,203
"Bishop, Heber R.",Sector 31-33-Manufacturing,48,193
"Bishop, Heber R.",Sector 48-49-Transportation and Warehousing,48,192
"Bishop, Heber R.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",48,195
"Bishop, Heber R.",Sector 52-Finance and Insurance,48,191
"Blumenthal, George",Sector 52-Finance and Insurance,1,191
"Blumenthal, George",Sector 22-Utilities,1,190
"Blumenthal, George","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",1,195
"Blumenthal, George",Sector 31-33-Manufacturing,1,193
"Borden, Matthew Challoner Durfee",Sector 31-33-Manufacturing,49,193
"Borden, Matthew Challoner Durfee",Sector 52-Finance and Insurance,49,191
"Bostwick, Jabez A.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",50,195
"Bostwick, Jabez A.",Sector 48-49-Transportation and Warehousing,50,192
"Brookfield, William",Sector 31-33-Manufacturing,2,193
"Brookfield, William",Sector 52-Finance and Insurance,2,191
"Burrage, Albert C.",Sector 22-Utilities,3,190
"Burrage, Albert C.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",3,195
"Burrage, Albert C.",Sector 31-33-Manufacturing,3,193
"Burrage, Albert C.","Sector 11-Agriculture, Forestry, Fishing and Hunting",3,204
"Butler, Theron R.",Sector 48-49-Transportation and Warehousing,51,192
"Butler, Theron R.",Sector 42-Wholesale Trade,51,196
"Carstairs, Charles Stewart",Sector 44-45-Retail Trade,52,201
"Carstairs, John Haseltine",Sector 42-Wholesale Trade,53,196
"Clark, William (Newark)",Sector 31-33-Manufacturing,54,193
"Clark, William Andrews",Sector 31-33-Manufacturing,4,193
"Clark, William Andrews","Sector 11-Agriculture, Forestry, Fishing and Hunting",4,204
