Name,Organization,Title,Title_Simple,Source
"Adams, Edward D.",Metropolitan Museum of Art,Trustee,Board/Trustee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Benefactor,Donor,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Executive Committee,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Finance Committee,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on Buildings,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on the Library,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on Sculpture,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on Oriental Art,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on Casts and Reproductions,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Adams, Edward D.",Metropolitan Museum of Art,Committee on Educational Work,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Allen, George L.",Saint Louis Art Museum,Board of Control,Board/Trustee,The City Art Museum St. Louis Annual Report to the Legislative Branch of the City Government
"Andrews, William Loring",Metropolitan Museum of Art,Trustee,Board/Trustee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Andrews, William Loring",Metropolitan Museum of Art,Patron and Fellow in Perpetuity,Member,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Andrews, William Loring",Metropolitan Museum of Art,Executive Committee,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Andrews, William Loring",Metropolitan Museum of Art,Committee on the Library,Committee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Armour, George A.",Art Institute of Chicago,Governing Member,Member,The Art Institute of Chicago Thirty-Fourth Annual Report for the Year 1912-13
"Astor, William",Metropolitan Museum of Art,Patron and Fellow in Perpetuity,Member,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Avery, Samuel Putnam",Metropolitan Museum of Art,Patron and Fellow in Perpetuity,Member,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Avery, Samuel Putnam",Brooklyn Museum of Art,Member of the Board,Board/Trustee,Yearbook of the Brooklyn Institute of Arts and Sciences 1912-13
"Avery, Samuel Putnam",Brooklyn Museum of Art,Committee on Museum of Science,Committee,Yearbook of the Brooklyn Institute of Arts and Sciences 1912-13
"Baker, George F.",Metropolitan Museum of Art,Trustee,Board/Trustee,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
"Baker, George F.",Metropolitan Museum of Art,Patron and Fellow in Perpetuity,Member,"Annual Report of the Trustees of the Metropolitan Museum of Art, No. 43 (1912)"
