source_label,target_label,source,target
"Adams, Edward D.",Metropolitan Museum of Art,36,179
"Allen, George L.",Saint Louis Art Museum,141,180
"Andrews, William Loring",Metropolitan Museum of Art,42,179
"Armour, George A.",Art Institute of Chicago,142,181
"Astor, William",Metropolitan Museum of Art,143,179
"Avery, Samuel Putnam",Metropolitan Museum of Art,44,179
"Avery, Samuel Putnam",Brooklyn Museum of Art,44,182
"Baker, George F.",Metropolitan Museum of Art,45,179
"Barger, Samuel F.",Metropolitan Museum of Art,144,179
"Bartlett, Francis","Museum of Fine Arts, Boston",145,183
"Bennett, James Gordon Jr.",Metropolitan Museum of Art,146,179
"Bishop, Heber R.",Metropolitan Museum of Art,48,179
"Bixby, William K.",Saint Louis Art Museum,147,180
"Blumenthal, George",Metropolitan Museum of Art,1,179
"Catlin, Daniel",Saint Louis Art Museum,148,180
"Clark, George Crawford",Metropolitan Museum of Art,149,179
"Clarke, Thomas B.",Art Institute of Chicago,55,181
"Comstock, William C.",Art Institute of Chicago,150,181
"Deering, Charles",Art Institute of Chicago,151,181
"Edwards, Robert J.","Museum of Fine Arts, Boston",152,183
"Fahnestock, Harris Charles",Metropolitan Museum of Art,69,179
"Frick, Henry Clay (NY)",Metropolitan Museum of Art,74,179
"Gould, Helen",Metropolitan Museum of Art,153,179
"Gunsaulus, Dr. Frank W.",Art Institute of Chicago,140,181
"Harkness, Edward",Metropolitan Museum of Art,154,179
"Healy, Aaron Augustus",Brooklyn Museum of Art,155,182
"Hearn, George A.",Metropolitan Museum of Art,13,179
"Hearn, George A.",Brooklyn Museum of Art,13,182
"Hutchinson, William J.",Metropolitan Museum of Art,156,179
"Jewett, William Kennon",Metropolitan Museum of Art,157,179
"Johnson, John G.",Metropolitan Museum of Art,158,179
"Layton, Frederick",Art Institute of Chicago,101,181
"Lewisohn, Adolph",Metropolitan Museum of Art,159,179
"Martin, Bradley",Metropolitan Museum of Art,160,179
"McAlpin, David H.",Metropolitan Museum of Art,161,179
"Morgan, J. Pierpont, Jr.",Metropolitan Museum of Art,162,179
"Nickerson, Samuel M.",Art Institute of Chicago,163,181
"Ream, Norman B.",Art Institute of Chicago,164,181
"Rockefeller, William Avery Jr.",Metropolitan Museum of Art,119,179
"Roloson, Robert W.",Art Institute of Chicago,165,181
"Russel, Horace",Metropolitan Museum of Art,166,179
"Ryerson, Martin A.",Art Institute of Chicago,167,181
"Sloane, William Douglas",Metropolitan Museum of Art,124,179
"Spaulding, William S.","Museum of Fine Arts, Boston",168,183
"Spoor, John A.",Art Institute of Chicago,169,181
"Stillman, James",Metropolitan Museum of Art,129,179
"Terry, John T.",Metropolitan Museum of Art,130,179
"Tousey, Sinclair",Metropolitan Museum of Art,133,179
"Valentine, P.A.",Brooklyn Museum of Art,33,182
"Vanderbilt, Cornelius II",Metropolitan Museum of Art,136,179
"Vanderbilt, William Kissam",Metropolitan Museum of Art,170,179
"Walker, E. Chandler",Detroit Institute of Arts,171,184
"Walters, Henry",Metropolitan Museum of Art,172,179
"White, George Robert","Museum of Fine Arts, Boston",173,183
"Davis, Theodore M.",Metropolitan Museum of Art,65,179
"Lockwood, Luke Vincent",Metropolitan Museum of Art,174,179
"Reisinger, Hugo",Metropolitan Museum of Art,25,179
"Hoagland, Joseph Christoffel",Brooklyn Museum of Art,85,182
"Loeser, Frederick",Brooklyn Museum of Art,175,182
"De Silver, Carll H.",Brooklyn Museum of Art,176,182
"Blumenthal, George",Lotos Club,1,177
"Brookfield, William",Lotos Club,2,177
"Burrage, Albert C.",Lotos Club,3,177
"Clark, William Andrews",Lotos Club,4,177
"Clarke, Augustus W.",Lotos Club,5,177
"Connor, Washington Everett",Lotos Club,6,177
"De Lima, David A.",Lotos Club,7,177
"Fletcher, Isaac D.",Lotos Club,8,177
"Flower, Frederick, S.",Lotos Club,9,177
"Fry, John Hemming",Lotos Club,10,177
"Gardiner, George Schuyler",Lotos Club,11,177
"Harrison, Hugh H.",Lotos Club,12,177
"Hearn, George A.",Lotos Club,13,177
"Hearst, William Randolph",Lotos Club,14,177
"Heye, Dr. George G.",Lotos Club,15,177
"Humphreys, Dr. Alexander C.",Lotos Club,16,177
"Lambert, Catholina",Lotos Club,17,177
"Lawrence, Frank R.",Lotos Club,18,177
"Lehmaier, Louis A.",Lotos Club,19,177
"Lehman, Arthur",Lotos Club,20,177
"Mansfield, Burton",Lotos Club,21,177
"Merriam, William Rush",Lotos Club,22,177
"Obrig, Adolf",Lotos Club,23,177
"Reinhardt, Henry",Lotos Club,24,177
"Reisinger, Hugo",Lotos Club,25,177
"Ruppert, Jacob",Lotos Club,26,177
"Seligman, Henry",Lotos Club,27,177
"Seligman, Isaac Newton",Lotos Club,28,177
"Shepherd, James G.",Lotos Club,29,177
"Stern, Louis",Lotos Club,30,177
"Stransky, Josef",Lotos Club,31,177
"Tenney, Charles Henry",Lotos Club,32,177
"Valentine, P.A.",Lotos Club,33,177
"Widener, Peter A.B.",Lotos Club,34,177
"Woolworth, Frank Winfield",Lotos Club,35,177
"Adams, Edward D.",Union League Club,36,178
"Aitken, John W.",Union League Club,37,178
"Alger, Russel Alexander",Union League Club,38,178
"Allis, Charles",Union League Club,39,178
"Ames, Frederick Lothrop",Union League Club,40,178
"Ames, Oliver",Union League Club,41,178
"Andrews, William Loring",Union League Club,42,178
"Astor, John Jacob (III)",Union League Club,43,178
"Avery, Samuel Putnam",Union League Club,44,178
"Baker, George F.",Union League Club,45,178
"Bakewell, Allen Campbell",Union League Club,46,178
"Bangs, F.N.",Union League Club,47,178
"Bishop, Heber R.",Union League Club,48,178
"Borden, Matthew Challoner Durfee",Union League Club,49,178
"Bostwick, Jabez A.",Union League Club,50,178
"Brookfield, William",Union League Club,2,178
