source_label,target_label,source,source_category,target,target_category,category,Organization
"Adams, Edward D.",Sector 22-Utilities,1,collector,59,Sector,collector,Metropolitan Museum of Art
"Adams, Edward D.",Sector 52-Finance and Insurance,1,collector,60,Sector,collector,Metropolitan Museum of Art
"Adams, Edward D.",Sector 48-49-Transportation and Warehousing,1,collector,61,Sector,collector,Metropolitan Museum of Art
"Adams, Edward D.",Sector 31-33-Manufacturing,1,collector,62,Sector,collector,Metropolitan Museum of Art
"Adams, Edward D.",Sector 23-Construction,1,collector,63,Sector,collector,Metropolitan Museum of Art
"Adams, Edward D.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",1,collector,64,Sector,collector,Metropolitan Museum of Art
"Andrews, William Loring",Sector 51-Information,2,collector,65,Sector,collector,Metropolitan Museum of Art
"Avery, Samuel Putnam","Sector 71-Arts, Entertainment, and Recreation",3,collector,66,Sector,collector,Metropolitan Museum of Art and Brooklyn Museum of Art
"Avery, Samuel Putnam",Sector 44-45-Retail Trade,3,collector,67,Sector,collector,Metropolitan Museum of Art and Brooklyn Museum of Art
"Baker, George F.",Sector 52-Finance and Insurance,4,collector,60,Sector,collector,Metropolitan Museum of Art
"Baker, George F.",Sector 22-Utilities,4,collector,59,Sector,collector,Metropolitan Museum of Art
"Baker, George F.",Sector 31-33-Manufacturing,4,collector,62,Sector,collector,Metropolitan Museum of Art
"Baker, George F.",Sector 51-Information,4,collector,65,Sector,collector,Metropolitan Museum of Art
"Baker, George F.",Sector 48-49-Transportation and Warehousing,4,collector,61,Sector,collector,Metropolitan Museum of Art
"Bishop, Heber R.",Sector 31-33-Manufacturing,5,collector,62,Sector,collector,Metropolitan Museum of Art
"Bishop, Heber R.",Sector 48-49-Transportation and Warehousing,5,collector,61,Sector,collector,Metropolitan Museum of Art
"Bishop, Heber R.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",5,collector,64,Sector,collector,Metropolitan Museum of Art
"Bishop, Heber R.",Sector 52-Finance and Insurance,5,collector,60,Sector,collector,Metropolitan Museum of Art
"Blumenthal, George",Sector 52-Finance and Insurance,6,collector,60,Sector,collector,Metropolitan Museum of Art
"Blumenthal, George",Sector 22-Utilities,6,collector,59,Sector,collector,Metropolitan Museum of Art
"Blumenthal, George","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",6,collector,64,Sector,collector,Metropolitan Museum of Art
"Blumenthal, George",Sector 31-33-Manufacturing,6,collector,62,Sector,collector,Metropolitan Museum of Art
"Clarke, Thomas B.",Sector 31-33-Manufacturing,7,collector,62,Sector,collector,Art Institute of Chicago
"Clarke, Thomas B.",Sector 44-45-Retail Trade,7,collector,67,Sector,collector,Art Institute of Chicago
"Davis, Theodore M.","Sector 54-Professional, Scientific, and Technical Services",8,collector,68,Sector,collector,Metropolitan Museum of Art
"Davis, Theodore M.","Sector 71-Arts, Entertainment, and Recreation",8,collector,66,Sector,collector,Metropolitan Museum of Art
"Davis, Theodore M.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",8,collector,64,Sector,collector,Metropolitan Museum of Art
"Davis, Theodore M.",Sector 52-Finance and Insurance,8,collector,60,Sector,collector,Metropolitan Museum of Art
"Fahnestock, Harris Charles",Sector 48-49-Transportation and Warehousing,9,collector,61,Sector,collector,Metropolitan Museum of Art
"Fahnestock, Harris Charles",Sector 52-Finance and Insurance,9,collector,60,Sector,collector,Metropolitan Museum of Art
"Fahnestock, Harris Charles",Sector 31-33-Manufacturing,9,collector,62,Sector,collector,Metropolitan Museum of Art
"Fahnestock, Harris Charles",Sector 51-Information,9,collector,65,Sector,collector,Metropolitan Museum of Art
"Fahnestock, Harris Charles",Sector 22-Utilities,9,collector,59,Sector,collector,Metropolitan Museum of Art
"Frick, Henry Clay (NY)","Sector 21-Mining, Quarrying, and Oil and Gas Extraction",10,collector,64,Sector,collector,Metropolitan Museum of Art
"Frick, Henry Clay (NY)",Sector 31-33-Manufacturing,10,collector,62,Sector,collector,Metropolitan Museum of Art
"Frick, Henry Clay (NY)",Sector 52-Finance and Insurance,10,collector,60,Sector,collector,Metropolitan Museum of Art
"Hearn, George A.",Sector 42-Wholesale Trade,11,collector,69,Sector,collector,Metropolitan Museum of Art and Brooklyn Museum of Art
"Hoagland, Joseph Christoffel",Sector 31-33-Manufacturing,12,collector,62,Sector,collector,Brooklyn Museum of Art
"Layton, Frederick",Sector 31-33-Manufacturing,13,collector,62,Sector,collector,Art Institute of Chicago
"Ream, Norman B.",Sector 31-33-Manufacturing,14,collector,62,Sector,collector,Art Institute of Chicago
