source label,source,target label,target,weight
"Aitken, John W.",1,"Adams, Edward D.",148,1
"Alger, Russel Alexander",2,"Adams, Edward D.",148,2
"Allen, George L.",3,"Adams, Edward D.",148,1
"Allis, Charles",4,"Adams, Edward D.",148,2
"Ames, Frederick Lothrop",5,"Adams, Edward D.",148,3
"Ames, Oliver",6,"Adams, Edward D.",148,2
"Astor, John Jacob (III)",7,"Adams, Edward D.",148,1
"Baker, George F.",8,"Adams, Edward D.",148,4
"Bakewell, Allen Campbell",9,"Adams, Edward D.",148,1
"Barger, Samuel F.",10,"Adams, Edward D.",148,3
"Bartlett, Francis",11,"Adams, Edward D.",148,1
"Berwind, Edward Julius",12,"Adams, Edward D.",148,5
"Bishop, Heber R.",13,"Adams, Edward D.",148,4
"Bixby, William K.",14,"Adams, Edward D.",148,4
"Blumenthal, George",15,"Adams, Edward D.",148,4
"Borden, Matthew Challoner Durfee",16,"Adams, Edward D.",148,2
"Bostwick, Jabez A.",17,"Adams, Edward D.",148,2
"Brookfield, William",18,"Adams, Edward D.",148,2
"Burrage, Albert C.",19,"Adams, Edward D.",148,3
"Butler, Theron R.",20,"Adams, Edward D.",148,1
"Catlin, Daniel",21,"Adams, Edward D.",148,2
"Clark, George Crawford",22,"Adams, Edward D.",148,1
"Clark, William (Newark)",23,"Adams, Edward D.",148,1
"Clark, William Andrews",24,"Adams, Edward D.",148,2
"Clarke, Thomas B.",25,"Adams, Edward D.",148,1
"Closson, James T.",26,"Adams, Edward D.",148,1
"Clyde, William P.",27,"Adams, Edward D.",148,3
"Cochran, Thomas",28,"Adams, Edward D.",148,5
"Coffin, Charles Albert",29,"Adams, Edward D.",148,2
"Comstock, William C.",30,"Adams, Edward D.",148,1
"Connor, Washington Everett",31,"Adams, Edward D.",148,1
"Cook, Henry H.",32,"Adams, Edward D.",148,1
"Crocker, Charles",33,"Adams, Edward D.",148,4
"Curtis, George N.",34,"Adams, Edward D.",148,1
"Curtis, William John",35,"Adams, Edward D.",148,4
"Davis, Theodore M.",36,"Adams, Edward D.",148,2
"De Lima, David A.",37,"Adams, Edward D.",148,1
"Deering, Charles",38,"Adams, Edward D.",148,1
"Ellsworth, James W.",39,"Adams, Edward D.",148,3
"Fahnestock, Harris Charles",40,"Adams, Edward D.",148,4
"Fiske, Josiah M.",41,"Adams, Edward D.",148,1
"Flagler, Henry Morrison",42,"Adams, Edward D.",148,2
"Fletcher, Isaac D.",43,"Adams, Edward D.",148,3
"Flower, Frederick, S.",44,"Adams, Edward D.",148,5
"Foos, Lamar",45,"Adams, Edward D.",148,1
"Frick, Henry Clay (NY)",46,"Adams, Edward D.",148,3
"Gardiner, George Schuyler",47,"Adams, Edward D.",148,1
"Gary, Elbert H.",48,"Adams, Edward D.",148,2
"Gould, Frank Jay",49,"Adams, Edward D.",148,3
"Gould, George Jay I",50,"Adams, Edward D.",148,2
"Graham, Malcolm",51,"Adams, Edward D.",148,1
"Harding, J. Horace",52,"Adams, Edward D.",148,5
"Harkness, Charles W.",53,"Adams, Edward D.",148,3
"Harkness, Edward",54,"Adams, Edward D.",148,2
"Harrison, Hugh H.",55,"Adams, Edward D.",148,3
"Hartley, Marcellus",56,"Adams, Edward D.",148,2
"Healy, Aaron Augustus",57,"Adams, Edward D.",148,1
"Heye, Dr. George G.",58,"Adams, Edward D.",148,2
"Hill, James N.",59,"Adams, Edward D.",148,3
"Hine, Francis L.",60,"Adams, Edward D.",148,2
"Hoagland, Joseph Christoffel",61,"Adams, Edward D.",148,1
"Holmes, John Grier",62,"Adams, Edward D.",148,2
"Horton, Henry Lawrence",63,"Adams, Edward D.",148,1
"Hotchkiss, Horace L.",64,"Adams, Edward D.",148,2
"Hoyt, Charles Albert",65,"Adams, Edward D.",148,2
"Humphreys, Dr. Alexander C.",66,"Adams, Edward D.",148,2
"Huntington, Collis P.",67,"Adams, Edward D.",148,2
"Huntington, Henry Edwards",68,"Adams, Edward D.",148,3
"Hutchinson, William J.",69,"Adams, Edward D.",148,3
"Hyde, Clarence M.",70,"Adams, Edward D.",148,1
"Hyde, Henry Baldwin",71,"Adams, Edward D.",148,1
"Ives, Brayton C.",72,"Adams, Edward D.",148,3
"Jackson, Edwin E.",73,"Adams, Edward D.",148,2
