ULAN_ID,Name,Sector
500447367,"Burrage, Albert C.","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500448232,"Clark, William Andrews","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500213593,"Hearst, William Randolph","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500448271,"Ives, Brayton C.","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500326383,"Stanford, Leland","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500448211,"Valentine, Lawson","Sector 11-Agriculture, Forestry, Fishing and Hunting"
500443260,"Willets, Howard","Sector 11-Agriculture, Forestry, Fishing and Hunting"
none,"Adams, Edward D.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447709,"Berwind, Edward Julius","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500446555,"Bishop, Heber R.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500314546,"Blumenthal, George","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500448241,"Bostwick, Jabez A.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447367,"Burrage, Albert C.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500450037,"Clyde, William P.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
none,"Cochran, Thomas","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447868,"Crocker, Charles","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500443803,"Davis, Theodore M.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500443239,"Ellsworth, James W.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500259690,"Flagler, Henry Morrison","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500446609,"Flower, Frederick, S.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500274405,"Frick, Henry Clay (NY)","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500448293,"Harding, J. Horace","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500443497,"Harkness, Charles W.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500372637,"Heye, Dr. George G.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500449909,"Hill, James N.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500443623,"Jennings, Walter","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447001,"Mather, Samuel","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500356367,"Mellon, Andrew W.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447607,"Merriam, William Rush","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447907,"Mills, Darius Ogden","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500443254,"Oliver, Henry W.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447957,"Riker, John Lawrence","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447943,"Rockefeller, William Avery Jr.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500446574,"Ruppert, Jacob","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447386,"Shepherd, James G.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500445305,"Stillman, James","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
500447668,"Thorne, Samuel P.","Sector 21-Mining, Quarrying, and Oil and Gas Extraction"
none,"Adams, Edward D.",Sector 22-Utilities
500448264,"Baker, George F.",Sector 22-Utilities
500446711,"Bakewell, Allen Campbell",Sector 22-Utilities
500314546,"Blumenthal, George",Sector 22-Utilities
500447367,"Burrage, Albert C.",Sector 22-Utilities
500443262,"Coffin, Charles Albert",Sector 22-Utilities
500445510,"Curtis, William John",Sector 22-Utilities
500447606,"Fahnestock, Harris Charles",Sector 22-Utilities
none,"Fletcher, Isaac D.",Sector 22-Utilities
500446609,"Flower, Frederick, S.",Sector 22-Utilities
500448359,"Gould, Frank Jay",Sector 22-Utilities
500448293,"Harding, J. Horace",Sector 22-Utilities
none,"Harrison, Hugh H.",Sector 22-Utilities
none,"Humphreys, Dr. Alexander C.",Sector 22-Utilities
500435856,"Huntington, Henry Edwards",Sector 22-Utilities
500439393,"Lehman, Arthur",Sector 22-Utilities
500448291,"Mansfield, Burton",Sector 22-Utilities
500447907,"Mills, Darius Ogden",Sector 22-Utilities
500322851,"Morgan, J. Pierpont",Sector 22-Utilities
500443254,"Oliver, Henry W.",Sector 22-Utilities
500443893,"Penfold, Edmund",Sector 22-Utilities
500447943,"Rockefeller, William Avery Jr.",Sector 22-Utilities
500447566,"Roebling, Ferdinand W.",Sector 22-Utilities
500448095,"Seligman, Henry",Sector 22-Utilities
500447386,"Shepherd, James G.",Sector 22-Utilities
500448108,"Ward, Leslie Dodd",Sector 22-Utilities
none,"Adams, Edward D.",Sector 23-Construction
500447709,"Berwind, Edward Julius",Sector 23-Construction
none,"Cochran, Thomas",Sector 23-Construction
500447868,"Crocker, Charles",Sector 23-Construction
500445510,"Curtis, William John",Sector 23-Construction
500447892,"Hotchkiss, Horace L.",Sector 23-Construction
none,"King, David H., Jr.",Sector 23-Construction
500439393,"Lehman, Arthur",Sector 23-Construction
500356367,"Mellon, Andrew W.",Sector 23-Construction
500447989,"Roberts, Marshall O.",Sector 23-Construction
500447943,"Rockefeller, William Avery Jr.",Sector 23-Construction
none,"Adams, Edward D.",Sector 31-33-Manufacturing
500360233,"Alger, Russel Alexander",Sector 31-33-Manufacturing
500447759,"Allis, Charles",Sector 31-33-Manufacturing
500360278,"Ames, Frederick Lothrop",Sector 31-33-Manufacturing
500360281,"Ames, Oliver",Sector 31-33-Manufacturing
500448264,"Baker, George F.",Sector 31-33-Manufacturing
500447709,"Berwind, Edward Julius",Sector 31-33-Manufacturing
500446555,"Bishop, Heber R.",Sector 31-33-Manufacturing
500314546,"Blumenthal, George",Sector 31-33-Manufacturing
500447889,"Borden, Matthew Challoner Durfee",Sector 31-33-Manufacturing
500447764,"Brookfield, William",Sector 31-33-Manufacturing
500447367,"Burrage, Albert C.",Sector 31-33-Manufacturing
none,"Clark, William (Newark)",Sector 31-33-Manufacturing
500448232,"Clark, William Andrews",Sector 31-33-Manufacturing
500315918,"Clarke, Thomas B.",Sector 31-33-Manufacturing
500450037,"Clyde, William P.",Sector 31-33-Manufacturing
none,"Cochran, Thomas",Sector 31-33-Manufacturing
500443262,"Coffin, Charles Albert",Sector 31-33-Manufacturing
500445510,"Curtis, William John",Sector 31-33-Manufacturing
500447606,"Fahnestock, Harris Charles",Sector 31-33-Manufacturing
none,"Fletcher, Isaac D.",Sector 31-33-Manufacturing
500446609,"Flower, Frederick, S.",Sector 31-33-Manufacturing
500448040,"Foos, Lamar",Sector 31-33-Manufacturing
500274405,"Frick, Henry Clay (NY)",Sector 31-33-Manufacturing
500446564,"Gardiner, George Schuyler",Sector 31-33-Manufacturing
500448272,"Gary, Elbert H.",Sector 31-33-Manufacturing
500447590,"Graham, Malcolm",Sector 31-33-Manufacturing
500448293,"Harding, J. Horace",Sector 31-33-Manufacturing
none,"Harrison, Hugh H.",Sector 31-33-Manufacturing
500448059,"Hartley, Marcellus",Sector 31-33-Manufacturing
500446709,"Hine, Francis L.",Sector 31-33-Manufacturing
500447057,"Hoagland, Joseph Christoffel",Sector 31-33-Manufacturing
500446919,"Hoyt, Charles Albert",Sector 31-33-Manufacturing
500435855,"Huntington, Collis P.",Sector 31-33-Manufacturing
500435856,"Huntington, Henry Edwards",Sector 31-33-Manufacturing
500447671,"Hyde, Clarence M.",Sector 31-33-Manufacturing
500448271,"Ives, Brayton C.",Sector 31-33-Manufacturing
500447391,"Jackson, Edwin E.",Sector 31-33-Manufacturing
500448357,"Jennings, Frederick Beach",Sector 31-33-Manufacturing
500443623,"Jennings, Walter",Sector 31-33-Manufacturing
500320993,"Lambert, Catholina",Sector 31-33-Manufacturing
500447981,"Layton, Frederick",Sector 31-33-Manufacturing
500439393,"Lehman, Arthur",Sector 31-33-Manufacturing
500447271,"Leighton, George E.",Sector 31-33-Manufacturing
500448291,"Mansfield, Burton",Sector 31-33-Manufacturing
500447001,"Mather, Samuel",Sector 31-33-Manufacturing
500356367,"Mellon, Andrew W.",Sector 31-33-Manufacturing
500447607,"Merriam, William Rush",Sector 31-33-Manufacturing
500446675,"Milbank, Jeremiah",Sector 31-33-Manufacturing
500448314,"Milliken, Seth Mellen",Sector 31-33-Manufacturing
500445235,"Moore, William Henry",Sector 31-33-Manufacturing
500322851,"Morgan, J. Pierpont",Sector 31-33-Manufacturing
500446910,"Obrig, Adolf",Sector 31-33-Manufacturing
500447038,"Oliver, George Tener",Sector 31-33-Manufacturing
500443254,"Oliver, Henry W.",Sector 31-33-Manufacturing
500449995,"Ream, Norman B.",Sector 31-33-Manufacturing
500448274,"Reid, Daniel G.",Sector 31-33-Manufacturing
