source_label,target_label,sector,source,source_role,target,target_role
"Adams, Edward D.","Baker, George F.",Sector 22-Utilities,8,collector,37,collector
"Adams, Edward D.","Bakewell, Allen Campbell",Sector 22-Utilities,8,collector,38,collector
"Adams, Edward D.","Blumenthal, George",Sector 22-Utilities,8,collector,11,collector
"Adams, Edward D.","Burrage, Albert C.",Sector 22-Utilities,8,collector,1,collector
"Adams, Edward D.","Coffin, Charles Albert",Sector 22-Utilities,8,collector,39,collector
"Adams, Edward D.","Curtis, William John",Sector 22-Utilities,8,collector,40,collector
"Adams, Edward D.","Fahnestock, Harris Charles",Sector 22-Utilities,8,collector,41,collector
"Adams, Edward D.","Fletcher, Isaac D.",Sector 22-Utilities,8,collector,42,collector
"Adams, Edward D.","Flower, Frederick, S.",Sector 22-Utilities,8,collector,19,collector
"Adams, Edward D.","Gould, Frank Jay",Sector 22-Utilities,8,collector,43,collector
"Adams, Edward D.","Harding, J. Horace",Sector 22-Utilities,8,collector,21,collector
"Adams, Edward D.","Harrison, Hugh H.",Sector 22-Utilities,8,collector,44,collector
"Adams, Edward D.","Humphreys, Dr. Alexander C.",Sector 22-Utilities,8,collector,45,collector
"Adams, Edward D.","Huntington, Henry Edwards",Sector 22-Utilities,8,collector,46,collector
"Adams, Edward D.","Lehman, Arthur",Sector 22-Utilities,8,collector,47,collector
"Adams, Edward D.","Mansfield, Burton",Sector 22-Utilities,8,collector,48,collector
"Adams, Edward D.","Mills, Darius Ogden",Sector 22-Utilities,8,collector,29,collector
"Adams, Edward D.","Morgan, J. Pierpont",Sector 22-Utilities,8,collector,49,collector
"Adams, Edward D.","Oliver, Henry W.",Sector 22-Utilities,8,collector,30,collector
"Adams, Edward D.","Penfold, Edmund",Sector 22-Utilities,8,collector,50,collector
"Adams, Edward D.","Rockefeller, William Avery Jr.",Sector 22-Utilities,8,collector,32,collector
"Adams, Edward D.","Roebling, Ferdinand W.",Sector 22-Utilities,8,collector,51,collector
"Adams, Edward D.","Seligman, Henry",Sector 22-Utilities,8,collector,52,collector
"Adams, Edward D.","Shepherd, James G.",Sector 22-Utilities,8,collector,34,collector
"Adams, Edward D.","Ward, Leslie Dodd",Sector 22-Utilities,8,collector,53,collector
"Adams, Edward D.","Aitken, John W.",Sector 52-Finance and Insurance,8,collector,98,collector
"Adams, Edward D.","Allis, Charles",Sector 52-Finance and Insurance,8,collector,58,collector
"Adams, Edward D.","Ames, Frederick Lothrop",Sector 52-Finance and Insurance,8,collector,59,collector
"Adams, Edward D.","Astor, John Jacob (III)",Sector 52-Finance and Insurance,8,collector,132,collector
"Adams, Edward D.","Baker, George F.",Sector 52-Finance and Insurance,8,collector,37,collector
"Adams, Edward D.","Berwind, Edward Julius",Sector 52-Finance and Insurance,8,collector,9,collector
"Adams, Edward D.","Bishop, Heber R.",Sector 52-Finance and Insurance,8,collector,10,collector
"Adams, Edward D.","Blumenthal, George",Sector 52-Finance and Insurance,8,collector,11,collector
"Adams, Edward D.","Borden, Matthew Challoner Durfee",Sector 52-Finance and Insurance,8,collector,61,collector
"Adams, Edward D.","Brookfield, William",Sector 52-Finance and Insurance,8,collector,62,collector
"Adams, Edward D.","Clark, William Andrews",Sector 52-Finance and Insurance,8,collector,2,collector
"Adams, Edward D.","Closson, James T.",Sector 52-Finance and Insurance,8,collector,138,collector
"Adams, Edward D.","Cochran, Thomas",Sector 52-Finance and Insurance,8,collector,14,collector
"Adams, Edward D.","Connor, Washington Everett",Sector 52-Finance and Insurance,8,collector,139,collector
"Adams, Edward D.","Cook, Henry H.",Sector 52-Finance and Insurance,8,collector,140,collector
"Adams, Edward D.","Crocker, Charles",Sector 52-Finance and Insurance,8,collector,15,collector
"Adams, Edward D.","Davis, Theodore M.",Sector 52-Finance and Insurance,8,collector,16,collector
"Adams, Edward D.","Ellsworth, James W.",Sector 52-Finance and Insurance,8,collector,17,collector
"Adams, Edward D.","Fahnestock, Harris Charles",Sector 52-Finance and Insurance,8,collector,41,collector
"Adams, Edward D.","Fiske, Josiah M.",Sector 52-Finance and Insurance,8,collector,103,collector
"Adams, Edward D.","Fletcher, Isaac D.",Sector 52-Finance and Insurance,8,collector,42,collector
"Adams, Edward D.","Flower, Frederick, S.",Sector 52-Finance and Insurance,8,collector,19,collector
"Adams, Edward D.","Frick, Henry Clay (NY)",Sector 52-Finance and Insurance,8,collector,20,collector
"Adams, Edward D.","Gary, Elbert H.",Sector 52-Finance and Insurance,8,collector,67,collector
"Adams, Edward D.","Gould, Frank Jay",Sector 52-Finance and Insurance,8,collector,43,collector
"Adams, Edward D.","Gould, George Jay I",Sector 52-Finance and Insurance,8,collector,123,collector
"Adams, Edward D.","Harding, J. Horace",Sector 52-Finance and Insurance,8,collector,21,collector
"Adams, Edward D.","Harkness, Charles W.",Sector 52-Finance and Insurance,8,collector,22,collector
"Adams, Edward D.","Hartley, Marcellus",Sector 52-Finance and Insurance,8,collector,69,collector
"Adams, Edward D.","Heye, Dr. George G.",Sector 52-Finance and Insurance,8,collector,23,collector
"Adams, Edward D.","Hill, James N.",Sector 52-Finance and Insurance,8,collector,24,collector
"Adams, Edward D.","Hine, Francis L.",Sector 52-Finance and Insurance,8,collector,70,collector
"Adams, Edward D.","Holmes, John Grier",Sector 52-Finance and Insurance,8,collector,124,collector
"Adams, Edward D.","Horton, Henry Lawrence",Sector 52-Finance and Insurance,8,collector,141,collector
"Adams, Edward D.","Hotchkiss, Horace L.",Sector 52-Finance and Insurance,8,collector,54,collector
"Adams, Edward D.","Hoyt, Charles Albert",Sector 52-Finance and Insurance,8,collector,72,collector
"Adams, Edward D.","Humphreys, Dr. Alexander C.",Sector 52-Finance and Insurance,8,collector,45,collector
"Adams, Edward D.","Hyde, Henry Baldwin",Sector 52-Finance and Insurance,8,collector,105,collector
"Adams, Edward D.","Ives, Brayton C.",Sector 52-Finance and Insurance,8,collector,4,collector
