label,role,id
"Adams, Edward D.",collector,1
"Aitken, John W.",collector,2
"Alger, Russel Alexander",collector,3
"Allen, George L.",collector,4
"Allis, Charles",collector,5
"Ames, Frederick Lothrop",collector,6
"Ames, Oliver",collector,7
"Andrews, William Loring",collector,8
"Armour, George A.",collector,9
"Astor, John Jacob (III)",collector,10
"Astor, William",collector,11
"Avery, Samuel Putnam",collector,12
"Baker, George F.",collector,13
"Bakewell, Allen Campbell",collector,14
"Bangs, F.N.",collector,15
"Barger, Samuel F.",collector,16
"Bartlett, Francis",collector,17
"Bennett, James Gordon Jr.",collector,18
"Berwind, Edward Julius",collector,19
"Bishop, Heber R.",collector,20
"Bixby, William K.",collector,21
"Blumenthal, George",collector,22
"Borden, Matthew Challoner Durfee",collector,23
"Bostwick, Jabez A.",collector,24
"Brookfield, William",collector,25
"Burrage, Albert C.",collector,26
"Butler, Theron R.",collector,27
"Carstairs, Charles Stewart",collector,28
"Carstairs, John Haseltine",collector,29
"Catlin, Daniel",collector,30
"Clark, George Crawford",collector,31
"Clark, William (Newark)",collector,32
"Clark, William Andrews",collector,33
"Clarke, Augustus W.",collector,34
"Clarke, Thomas B.",collector,35
"Closson, James T.",collector,36
"Clyde, William P.",collector,37
"Cochran, Thomas",collector,38
"Coffin, Charles Albert",collector,39
"Comstock, William C.",collector,40
"Connor, Washington Everett",collector,41
"Cook, Henry H.",collector,42
"Crocker, Charles",collector,43
"Curtis, George N.",collector,44
"Curtis, William John",collector,45
"Davenport, Ira",collector,46
"Davis, Theodore M.",collector,47
"De Lima, David A.",collector,48
"Deering, Charles",collector,49
"Dick, Harris Brisbane",collector,50
"Dun, Robert Graham",collector,51
"Edwards, Robert J.",collector,52
"Ellsworth, James W.",collector,53
"Fahnestock, Harris Charles",collector,54
"Field, Marshall",collector,55
"Fiske, Josiah M.",collector,56
"Flagler, Henry Morrison",collector,57
"Fletcher, Isaac D.",collector,58
"Flower, Frederick, S.",collector,59
"Foos, Lamar",collector,60
"Frick, Henry Clay (NY)",collector,61
"Fry, John Hemming",collector,62
"Fuller, William H.",collector,63
"Gardiner, George Schuyler",collector,64
"Gary, Elbert H.",collector,65
"Gould, Frank Jay",collector,66
"Gould, George Jay I",collector,67
"Gould, Helen",collector,68
"Graham, Malcolm",collector,69
"Gunsaulus, Dr. Frank W.",collector,70
"Harbeck, Charles T.",collector,71
"Harding, J. Horace",collector,72
"Harkness, Charles W.",collector,73
"Harkness, Edward",collector,74
"Harper, Fletcher, Jr.",collector,75
"Harper, Joseph Abner",collector,76
"Harrison, Hugh H.",collector,77
"Hartley, Marcellus",collector,78
"Healy, Aaron Augustus",collector,79
"Hearn, George A.",collector,80
"Hearst, William Randolph",collector,81
"Heye, Dr. George G.",collector,82
"Hill, James N.",collector,83
"Hine, Francis L.",collector,84
"Hoagland, Joseph Christoffel",collector,85
"Holmes, John Grier",collector,86
"Horton, Henry Lawrence",collector,87
"Hotchkiss, Horace L.",collector,88
"Hoyt, Charles Albert",collector,89
"Humphreys, Dr. Alexander C.",collector,90
"Huntington, Collis P.",collector,91
"Huntington, Henry Edwards",collector,92
"Hutchinson, William J.",collector,93
"Hyde, Clarence M.",collector,94
"Hyde, Henry Baldwin",collector,95
"Inglis, James Smith",collector,96
"Ives, Brayton C.",collector,97
"Jackson, Edwin E.",collector,98
"Jennings, Frederick Beach",collector,99
"Jennings, Walter",collector,100
"Jewett, William Kennon",collector,101
"Johnson, John G.",collector,102
"King, David H., Jr.",collector,103
"Kirby, Thomas E.",collector,104
"Lambert, Catholina",collector,105
