label,ulan,role,id,trust_investigation
"Burrage, Albert C.",500447367,collector,1,NA
"Clark, William Andrews",500448232,collector,2,NA
"Hearst, William Randolph",500213593,collector,3,NA
"Ives, Brayton C.",500448271,collector,4,NA
"Stanford, Leland",500326383,collector,5,NA
"Valentine, Lawson",500448211,collector,6,NA
"Willets, Howard",500443260,collector,7,NA
"Adams, Edward D.",none,collector,8,NA
"Berwind, Edward Julius",500447709,collector,9,Money Trust Investigation
"Bishop, Heber R.",500446555,collector,10,NA
"Blumenthal, George",500314546,collector,11,NA
"Bostwick, Jabez A.",500448241,collector,12,NA
"Clyde, William P.",500450037,collector,13,NA
"Cochran, Thomas",none,collector,14,NA
"Crocker, Charles",500447868,collector,15,NA
"Davis, Theodore M.",500443803,collector,16,NA
"Ellsworth, James W.",500443239,collector,17,NA
"Flagler, Henry Morrison",500259690,collector,18,NA
"Flower, Frederick, S.",500446609,collector,19,NA
"Frick, Henry Clay (NY)",500274405,collector,20,NA
"Harding, J. Horace",500448293,collector,21,NA
"Harkness, Charles W.",500443497,collector,22,Money Trust Investigation
"Heye, Dr. George G.",500372637,collector,23,NA
"Hill, James N.",500449909,collector,24,NA
"Jennings, Walter",500443623,collector,25,Money Trust Investigation
"Mather, Samuel",500447001,collector,26,NA
"Mellon, Andrew W.",500356367,collector,27,Money Trust Investigation
"Merriam, William Rush",500447607,collector,28,NA
"Mills, Darius Ogden",500447907,collector,29,NA
"Oliver, Henry W.",500443254,collector,30,NA
"Riker, John Lawrence",500447957,collector,31,NA
"Rockefeller, William Avery Jr.",500447943,collector,32,Money Trust Investigation
"Ruppert, Jacob",500446574,collector,33,NA
"Shepherd, James G.",500447386,collector,34,NA
"Stillman, James",500445305,collector,35,Money Trust Investigation
"Thorne, Samuel P.",500447668,collector,36,NA
"Baker, George F.",500448264,collector,37,Money Trust Investigation
"Bakewell, Allen Campbell",500446711,collector,38,NA
"Coffin, Charles Albert",500443262,collector,39,NA
"Curtis, William John",500445510,collector,40,NA
"Fahnestock, Harris Charles",500447606,collector,41,Money Trust Investigation
"Fletcher, Isaac D.",none,collector,42,NA
"Gould, Frank Jay",500448359,collector,43,NA
"Harrison, Hugh H.",none,collector,44,NA
"Humphreys, Dr. Alexander C.",none,collector,45,NA
"Huntington, Henry Edwards",500435856,collector,46,NA
"Lehman, Arthur",500439393,collector,47,NA
"Mansfield, Burton",500448291,collector,48,NA
"Morgan, J. Pierpont",500322851,collector,49,Money Trust Investigation
"Penfold, Edmund",500443893,collector,50,NA
"Roebling, Ferdinand W.",500447566,collector,51,NA
"Seligman, Henry",500448095,collector,52,NA
"Ward, Leslie Dodd",500448108,collector,53,NA
"Hotchkiss, Horace L.",500447892,collector,54,NA
"King, David H., Jr.",none,collector,55,NA
"Roberts, Marshall O.",500447989,collector,56,NA
"Alger, Russel Alexander",500360233,collector,57,NA
"Allis, Charles",500447759,collector,58,NA
"Ames, Frederick Lothrop",500360278,collector,59,NA
"Ames, Oliver",500360281,collector,60,NA
"Borden, Matthew Challoner Durfee",500447889,collector,61,NA
"Brookfield, William",500447764,collector,62,NA
"Clark, William (Newark)",none,collector,63,NA
"Clarke, Thomas B.",500315918,collector,64,NA
"Foos, Lamar",500448040,collector,65,NA
"Gardiner, George Schuyler",500446564,collector,66,NA
"Gary, Elbert H.",500448272,collector,67,Money Trust Investigation
"Graham, Malcolm",500447590,collector,68,NA
"Hartley, Marcellus",500448059,collector,69,NA
"Hine, Francis L.",500446709,collector,70,Money Trust Investigation
"Hoagland, Joseph Christoffel",500447057,collector,71,NA
"Hoyt, Charles Albert",500446919,collector,72,NA
"Huntington, Collis P.",500435855,collector,73,NA
"Hyde, Clarence M.",500447671,collector,74,NA
"Jackson, Edwin E.",500447391,collector,75,NA
"Jennings, Frederick Beach",500448357,collector,76,Money Trust Investigation
"Lambert, Catholina",500320993,collector,77,NA
"Layton, Frederick",500447981,collector,78,NA
"Leighton, George E.",500447271,collector,79,NA
"Milbank, Jeremiah",500446675,collector,80,NA
"Milliken, Seth Mellen",500448314,collector,81,NA
"Moore, William Henry",500445235,collector,82,Money Trust Investigation
"Obrig, Adolf",500446910,collector,83,NA
"Oliver, George Tener",500447038,collector,84,NA
"Ream, Norman B.",500449995,collector,85,Money Trust Investigation
"Reid, Daniel G.",500448274,collector,86,Money Trust Investigation
"Reisinger, Hugo",500448080,collector,87,NA
"Schwab, Charles M.",500443232,collector,88,NA
"Sloane, William Douglas",500447561,collector,89,Money Trust Investigation
"Smith, Theodore E.",500448458,collector,90,NA
"Spoor, John A.",500443775,collector,91,Money Trust Investigation
"Stern, Louis",500447669,collector,92,NA
"Thomas, Seth Edward",500443546,collector,93,NA
"Tuckerman, Lucius",500443322,collector,94,NA
"Valentine, P.A.",500448430,collector,95,Money Trust Investigation
"Warren, John Hobart",500444040,collector,96,NA
"Widener, Peter A.B.",500336869,collector,97,NA
"Aitken, John W.",500443549,collector,98,NA
"Butler, Theron R.",500446556,collector,99,NA
"Carstairs, John Haseltine",500447358,collector,100,NA
"De Lima, David A.",500448227,collector,101,NA
"Field, Marshall",500444622,collector,102,NA
"Fiske, Josiah M.",500447591,collector,103,NA
"Hearn, George A.",500447886,collector,104,NA
"Hyde, Henry Baldwin",500448113,collector,105,NA
"Peavey, Frank Hutchinson",500448358,collector,106,NA
"Peters, Samuel T.",500448433,collector,107,NA
"Sabin, Charles H.",500444931,collector,108,Money Trust Investigation
"Smith, Charles Stewart",500447573,collector,109,NA
"Tenney, Charles Henry",500447003,collector,110,NA
"Woolworth, Frank Winfield",500448065,collector,111,NA
"Avery, Samuel Putnam",500313673,collector,112,NA
"Carstairs, Charles Stewart",500435474,collector,113,NA
"Clarke, Augustus W.",500443259,collector,114,NA
"Dun, Robert Graham",500447731,collector,115,NA
"Fuller, William H.",none,collector,116,NA
"Harbeck, Charles T.",500446977,collector,117,NA
"Inglis, James Smith",500443701,collector,118,NA
"Kirby, Thomas E.",500443646,collector,119,NA
"Reinhardt, Henry",500778998,collector,120,NA
"Terry, John T.",500447019,collector,121,NA
"Curtis, George N.",500448027,collector,122,NA
"Gould, George Jay I",500447898,collector,123,Money Trust Investigation
"Holmes, John Grier",500443514,collector,124,NA
"Lawrence, Cyrus I.",500447713,collector,125,NA
"McGarrah, G. W.",500449846,collector,126,Money Trust Investigation
"Raynor, James A.",500447938,collector,127,NA
"Salter, Thomas P.",500446561,collector,128,NA
"Schiff, Jacob Henry",500448262,collector,129,Money Trust Investigation
"Vanderbilt, Cornelius II",500447578,collector,130,NA
"Andrews, William Loring",500360341,collector,131,NA
"Astor, John Jacob (III)",500435405,collector,132,NA
"Dick, Harris Brisbane",500447692,collector,133,NA
"Harper, Fletcher, Jr.",500447663,collector,134,NA
"Harper, Joseph Abner",500447944,collector,135,NA
"Lehmaier, Louis A.",500443489,collector,136,NA
"Tousey, Sinclair",500443864,collector,137,NA
"Closson, James T.",500446630,collector,138,NA
"Connor, Washington Everett",500443312,collector,139,NA
"Cook, Henry H.",none,collector,140,NA
"Horton, Henry Lawrence",500443282,collector,141,NA
"Lawrence, Frank R.",500447645,collector,142,NA
"Seligman, Isaac Newton",500443320,collector,143,NA
"Stewart, Lispenard",500448424,collector,144,NA
"Bangs, F.N.",500447996,collector,145,NA
"Fry, John Hemming",500083263,collector,146,NA
"Stransky, Josef",500439445,collector,147,NA
"Davenport, Ira",500446683,collector,148,NA
