ULAN_ID,Name,Social_Club
500314546,"Blumenthal, George",Lotos
500447764,"Brookfield, William",Lotos
500447367,"Burrage, Albert C.",Lotos
500448232,"Clark, William Andrews",Lotos
500443259,"Clarke, Augustus W.",Lotos
500443312,"Connor, Washington Everett",Lotos
500448227,"De Lima, David A.",Lotos
none,"Fletcher, Isaac D.",Lotos
500446609,"Flower, Frederick, S.",Lotos
500083263,"Fry, John Hemming",Lotos
500446564,"Gardiner, George Schuyler",Lotos
none,"Harrison, Hugh H.",Lotos
500447886,"Hearn, George A.",Lotos
500213593,"Hearst, William Randolph",Lotos
500372637,"Heye, Dr. George G.",Lotos
none,"Humphreys, Dr. Alexander C.",Lotos
500320993,"Lambert, Catholina",Lotos
500447645,"Lawrence, Frank R.",Lotos
500443489,"Lehmaier, Louis A.",Lotos
500439393,"Lehman, Arthur",Lotos
500448291,"Mansfield, Burton",Lotos
500447607,"Merriam, William Rush",Lotos
500446910,"Obrig, Adolf",Lotos
500778998,"Reinhardt, Henry",Lotos
500448080,"Reisinger, Hugo",Lotos
500446574,"Ruppert, Jacob",Lotos
500448095,"Seligman, Henry",Lotos
500443320,"Seligman, Isaac Newton",Lotos
500447386,"Shepherd, James G.",Lotos
500447669,"Stern, Louis",Lotos
500439445,"Stransky, Josef",Lotos
500447003,"Tenney, Charles Henry",Lotos
500448430,"Valentine, P.A.",Lotos
500336869,"Widener, Peter A.B.",Lotos
500448065,"Woolworth, Frank Winfield",Lotos
none,"Adams, Edward D.",Union League
500443549,"Aitken, John W.",Union League
500360233,"Alger, Russel Alexander",Union League
500447759,"Allis, Charles",Union League
500360278,"Ames, Frederick Lothrop",Union League
500360281,"Ames, Oliver",Union League
500360341,"Andrews, William Loring",Union League
500435405,"Astor, John Jacob (III)",Union League
500313673,"Avery, Samuel Putnam",Union League
500448264,"Baker, George F.",Union League
500446711,"Bakewell, Allen Campbell",Union League
500447996,"Bangs, F.N.",Union League
500446555,"Bishop, Heber R.",Union League
500447889,"Borden, Matthew Challoner Durfee",Union League
500448241,"Bostwick, Jabez A.",Union League
