source_label,target_label,source,target
"Blumenthal, George",Lotos,1,141
"Brookfield, William",Lotos,2,141
"Burrage, Albert C.",Lotos,3,141
"Clark, William Andrews",Lotos,4,141
"Clarke, Augustus W.",Lotos,5,141
"Connor, Washington Everett",Lotos,6,141
"De Lima, David A.",Lotos,7,141
"Fletcher, Isaac D.",Lotos,8,141
"Flower, Frederick, S.",Lotos,9,141
"Fry, John Hemming",Lotos,10,141
"Gardiner, George Schuyler",Lotos,11,141
"Harrison, Hugh H.",Lotos,12,141
"Hearn, George A.",Lotos,13,141
"Hearst, William Randolph",Lotos,14,141
"Heye, Dr. George G.",Lotos,15,141
"Humphreys, Dr. Alexander C.",Lotos,16,141
"Lambert, Catholina",Lotos,17,141
"Lawrence, Frank R.",Lotos,18,141
"Lehmaier, Louis A.",Lotos,19,141
"Lehman, Arthur",Lotos,20,141
"Mansfield, Burton",Lotos,21,141
"Merriam, William Rush",Lotos,22,141
"Obrig, Adolf",Lotos,23,141
"Reinhardt, Henry",Lotos,24,141
"Reisinger, Hugo",Lotos,25,141
"Ruppert, Jacob",Lotos,26,141
"Seligman, Henry",Lotos,27,141
"Seligman, Isaac Newton",Lotos,28,141
"Shepherd, James G.",Lotos,29,141
"Stern, Louis",Lotos,30,141
"Stransky, Josef",Lotos,31,141
"Tenney, Charles Henry",Lotos,32,141
"Valentine, P.A.",Lotos,33,141
"Widener, Peter A.B.",Lotos,34,141
"Woolworth, Frank Winfield",Lotos,35,141
"Adams, Edward D.",Union League,36,142
"Aitken, John W.",Union League,37,142
"Alger, Russel Alexander",Union League,38,142
"Allis, Charles",Union League,39,142
"Ames, Frederick Lothrop",Union League,40,142
"Ames, Oliver",Union League,41,142
"Andrews, William Loring",Union League,42,142
"Astor, John Jacob (III)",Union League,43,142
"Avery, Samuel Putnam",Union League,44,142
"Baker, George F.",Union League,45,142
"Bakewell, Allen Campbell",Union League,46,142
"Bangs, F.N.",Union League,47,142
"Bishop, Heber R.",Union League,48,142
"Borden, Matthew Challoner Durfee",Union League,49,142
"Bostwick, Jabez A.",Union League,50,142
"Brookfield, William",Union League,2,142
"Burrage, Albert C.",Union League,3,142
"Butler, Theron R.",Union League,51,142
"Carstairs, Charles Stewart",Union League,52,142
"Carstairs, John Haseltine",Union League,53,142
"Clark, William (Newark)",Union League,54,142
"Clarke, Thomas B.",Union League,55,142
"Closson, James T.",Union League,56,142
"Clyde, William P.",Union League,57,142
"Cochran, Thomas",Union League,58,142
"Coffin, Charles Albert",Union League,59,142
"Connor, Washington Everett",Union League,6,142
"Cook, Henry H.",Union League,60,142
"Crocker, Charles",Union League,61,142
"Curtis, George N.",Union League,62,142
"Curtis, William John",Union League,63,142
"Davenport, Ira",Union League,64,142
"Davis, Theodore M.",Union League,65,142
"Dick, Harris Brisbane",Union League,66,142
"Dun, Robert Graham",Union League,67,142
"Ellsworth, James W.",Union League,68,142
