label,role,id
"Blumenthal, George",collector,1
"Brookfield, William",collector,2
"Burrage, Albert C.",collector,3
"Clark, William Andrews",collector,4
"Clarke, Augustus W.",collector,5
"Connor, Washington Everett",collector,6
"De Lima, David A.",collector,7
"Fletcher, Isaac D.",collector,8
"Flower, Frederick, S.",collector,9
"Fry, John Hemming",collector,10
"Gardiner, George Schuyler",collector,11
"Harrison, Hugh H.",collector,12
"Hearn, George A.",collector,13
"Hearst, William Randolph",collector,14
"Heye, Dr. George G.",collector,15
"Humphreys, Dr. Alexander C.",collector,16
"Lambert, Catholina",collector,17
"Lawrence, Frank R.",collector,18
"Lehmaier, Louis A.",collector,19
"Lehman, Arthur",collector,20
"Mansfield, Burton",collector,21
"Merriam, William Rush",collector,22
"Obrig, Adolf",collector,23
"Reinhardt, Henry",collector,24
"Reisinger, Hugo",collector,25
"Ruppert, Jacob",collector,26
"Seligman, Henry",collector,27
"Seligman, Isaac Newton",collector,28
"Shepherd, James G.",collector,29
"Stern, Louis",collector,30
"Stransky, Josef",collector,31
"Tenney, Charles Henry",collector,32
"Valentine, P.A.",collector,33
"Widener, Peter A.B.",collector,34
"Woolworth, Frank Winfield",collector,35
"Adams, Edward D.",collector,36
"Aitken, John W.",collector,37
"Alger, Russel Alexander",collector,38
"Allis, Charles",collector,39
"Ames, Frederick Lothrop",collector,40
"Ames, Oliver",collector,41
"Andrews, William Loring",collector,42
"Astor, John Jacob (III)",collector,43
"Avery, Samuel Putnam",collector,44
"Baker, George F.",collector,45
"Bakewell, Allen Campbell",collector,46
"Bangs, F.N.",collector,47
"Bishop, Heber R.",collector,48
"Borden, Matthew Challoner Durfee",collector,49
"Bostwick, Jabez A.",collector,50
"Butler, Theron R.",collector,51
"Carstairs, Charles Stewart",collector,52
"Carstairs, John Haseltine",collector,53
"Clark, William (Newark)",collector,54
"Clarke, Thomas B.",collector,55
"Closson, James T.",collector,56
"Clyde, William P.",collector,57
"Cochran, Thomas",collector,58
"Coffin, Charles Albert",collector,59
"Cook, Henry H.",collector,60
"Crocker, Charles",collector,61
"Curtis, George N.",collector,62
"Curtis, William John",collector,63
"Davenport, Ira",collector,64
"Davis, Theodore M.",collector,65
"Dick, Harris Brisbane",collector,66
"Dun, Robert Graham",collector,67
"Ellsworth, James W.",collector,68
"Fahnestock, Harris Charles",collector,69
"Field, Marshall",collector,70
"Fiske, Josiah M.",collector,71
"Flagler, Henry Morrison",collector,72
"Foos, Lamar",collector,73
"Frick, Henry Clay (NY)",collector,74
"Fuller, William H.",collector,75
