Id,Label,role,Degree,Weighted Degree,bridgingcoefficient,bridgingcentrality,componentnumber,modularity_class
1,"Blumenthal, George",collector,6,6,0.72384,0.003709,0,0
25,"Reisinger, Hugo",collector,2,2,1.71875,0.000244,0,0
67,"Dun, Robert Graham",collector,2,2,0.8,0.000271,0,0
77,"Graham, Malcolm",collector,1,1,20,0,0,0
79,"Harding, J. Horace",collector,8,8,0.396346,0.002917,0,0
82,"Hartley, Marcellus",collector,6,6,0.21158,0.00244,0,0
92,"Hyde, Clarence M.",collector,2,2,3.548387,0.00329,0,0
105,"Mellon, Andrew W.",collector,14,14,0.070257,0.002374,0,0
135,"Valentine, Lawson",collector,3,3,0.286778,0.002732,0,0
138,"Warren, John Hobart",collector,3,3,4.376674,0.00503,0,0
141,"Allen, George L.",collector,1,1,20,0,0,0
148,"Catlin, Daniel",collector,3,3,2.289332,0.002198,0,0
156,"Hutchinson, William J.",collector,5,5,0.862141,0.002224,0,0
161,"McAlpin, David H.",collector,2,2,2.117647,0.000256,0,0
171,"Walker, E. Chandler",collector,4,4,1.048058,0.001872,0,0
210,Subsector 332-Fabricated Metal Product Manufacturing,subsector,20,20,0.009878,0.00029,0,0
220,Subsector 325-Chemical Manufacturing,subsector,11,11,0.032,0.000682,0,0
223,Subsector 327-Nonmetallic Mineral Product Manufacturing,subsector,5,5,0.213198,0.000828,0,0
234,Subsector 561-Administrative and Support Services,subsector,2,2,0.75,0.000778,0,0
237,Subsector 312-Beverage and Tobacco Product Manufacturing,subsector,9,9,0.055622,0.000383,0,0
252,Subsector 111-Crop Production,subsector,1,1,3,0,0,0
10,"Fry, John Hemming",collector,2,2,1,0.00059,0,1
17,"Lambert, Catholina",collector,3,3,1.657069,0.00324,0,1
26,"Ruppert, Jacob",collector,7,7,0.19184,0.005387,0,1
31,"Stransky, Josef",collector,1,1,3,0,0,1
49,"Borden, Matthew Challoner Durfee",collector,2,2,2.810526,0.003309,0,1
54,"Clark, William (Newark)",collector,1,1,6,0,0,1
107,"Milliken, Seth Mellen",collector,8,8,0.18252,0.004895,0,1
140,"Gunsaulus, Dr. Frank W.",collector,2,2,0.75,0.011994,0,1
150,"Comstock, William C.",collector,3,3,1.28,0.004636,0,1
153,"Gould, Helen",collector,1,1,2,0,0,1
221,Subsector 313-Textile Mills,subsector,6,6,0.076881,0.000731,0,1
238,Subsector 611-Educational Services,subsector,6,6,0.081633,0.002456,0,1
239,"Subsector 711-Performing Arts, Spectator Sports, and Related Industries 543",subsector,3,3,0.202899,0.002165,0,1
254,"Subsector 813-Religious, Grantmaking, Civic, Professional, and Similar Organizations",subsector,2,2,0.333333,0.002676,0,1
13,"Hearn, George A.",collector,1,1,26,0,0,2
32,"Tenney, Charles Henry",collector,2,2,10.06087,0.00688,0,2
51,"Butler, Theron R.",collector,2,2,9.365591,0.006426,0,2
53,"Carstairs, John Haseltine",collector,1,1,26,0,0,2
70,"Field, Marshall",collector,2,2,3.058824,0.001078,0,2
106,"Milbank, Jeremiah",collector,3,3,2.670609,0.004049,0,2
121,"Sabin, Charles H.",collector,2,2,10.06087,0.00688,0,2
130,"Terry, John T.",collector,6,6,0.627773,0.004219,0,2
159,"Lewisohn, Adolph",collector,2,2,7.172414,0.002431,0,2
173,"White, George Robert",collector,2,2,10.06087,0.00688,0,2
175,"Loeser, Frederick",collector,2,2,3.058824,0.001078,0,2
